# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 18/ 3/2021, la deuxième au 19/ 3/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
-5.0987             1.5069              
-5.1027             1.5038              
-5.1067             1.5006              
-5.1107             1.4975              
-5.1147             1.4943              
-5.1187             1.4912              
-5.1227             1.488               
-5.1267             1.4848              
-5.1306             1.4817              
-5.1346             1.4785              
-5.1385             1.4753              
-5.1425             1.4721              
-5.1464             1.469               
-5.1503             1.4658              
-5.1542             1.4626              
-5.1581             1.4594              
-5.162              1.4562              
-5.1658             1.453               
-5.1697             1.4498              
-5.1736             1.4466              
-5.1774             1.4434              
-5.1812             1.4402              
-5.1851             1.437               
-5.1889             1.4338              
-5.1927             1.4306              
-5.1965             1.4274              
-5.2003             1.4242              
-5.204              1.421               
-5.2078             1.4177              
-5.2115             1.4145              
-5.2153             1.4113              
-5.219              1.408               
-5.2228             1.4048              
-5.2265             1.4016              
-5.2302             1.3983              
-5.2339             1.3951              
-5.2376             1.3919              
-5.2412             1.3886              
-5.2449             1.3854              
-5.2486             1.3821              
-5.2522             1.3789              
-5.2558             1.3756              
-5.2595             1.3723              
-5.2631             1.3691              
-5.2667             1.3658              
-5.2703             1.3626              
-5.2739             1.3593              
-5.2775             1.356               
-5.281              1.3527              
-5.2846             1.3495              
-5.2882             1.3462              
-5.2917             1.3429              
-5.2952             1.3396              
-5.2988             1.3363              
-5.3023             1.333               
-5.3058             1.3298              
-5.3093             1.3265              
-5.3128             1.3232              
-5.3162             1.3199              
-5.3197             1.3166              
-5.3232             1.3133              
-5.3266             1.31                
-5.33               1.3067              
-5.3335             1.3033              
-5.3369             1.3                 
-5.3403             1.2967              
-5.3437             1.2934              
-5.3471             1.2901              
-5.3505             1.2868              
-5.3538             1.2834              
-5.3572             1.2801              
-5.3605             1.2768              
-5.3639             1.2735              
-5.3672             1.2701              
-5.3705             1.2668              
-5.3739             1.2635              
-5.3772             1.2601              
-5.3805             1.2568              
-5.3837             1.2534              
-5.387              1.2501              
-5.3903             1.2467              
-5.3936             1.2434              
-5.3968             1.24                
-5.4                1.2367              
-5.4033             1.2333              
-5.4065             1.23                
-5.4097             1.2266              
-5.4129             1.2232              
-5.4161             1.2199              
