# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 15/ 4/2021, la deuxième au 16/ 4/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              Z (au)              
-2.5882             2.3369              0.3444              
-2.5973             2.3366              0.3446              
-2.6064             2.3363              0.3449              
-2.6156             2.336               0.3451              
-2.6247             2.3357              0.3453              
-2.6337             2.3353              0.3455              
-2.6428             2.335               0.3458              
-2.6518             2.3346              0.346               
-2.6609             2.3342              0.3462              
-2.6699             2.3338              0.3464              
-2.6789             2.3334              0.3466              
-2.6879             2.3329              0.3468              
-2.6968             2.3325              0.347               
-2.7058             2.332               0.3472              
-2.7147             2.3315              0.3474              
-2.7236             2.331               0.3476              
-2.7325             2.3305              0.3478              
-2.7413             2.33                0.348               
-2.7502             2.3294              0.3482              
-2.759              2.3289              0.3484              
-2.7678             2.3283              0.3485              
-2.7767             2.3277              0.3487              
-2.7854             2.3271              0.3489              
-2.7942             2.3265              0.3491              
-2.803              2.3259              0.3493              
-2.8117             2.3252              0.3494              
-2.8204             2.3246              0.3496              
-2.8291             2.3239              0.3498              
-2.8378             2.3232              0.3499              
-2.8465             2.3225              0.3501              
-2.8551             2.3218              0.3503              
-2.8637             2.3211              0.3504              
-2.8724             2.3203              0.3506              
-2.881              2.3196              0.3507              
-2.8895             2.3188              0.3509              
-2.8981             2.318               0.3511              
-2.9067             2.3172              0.3512              
-2.9152             2.3164              0.3514              
-2.9237             2.3156              0.3515              
-2.9322             2.3148              0.3516              
-2.9407             2.3139              0.3518              
-2.9492             2.3131              0.3519              
-2.9576             2.3122              0.3521              
-2.9661             2.3113              0.3522              
-2.9745             2.3104              0.3523              
-2.9829             2.3095              0.3525              
-2.9913             2.3086              0.3526              
-2.9996             2.3077              0.3527              
-3.008              2.3067              0.3529              
-3.0163             2.3058              0.353               
-3.0247             2.3048              0.3531              
-3.033              2.3038              0.3532              
-3.0412             2.3028              0.3534              
-3.0495             2.3018              0.3535              
-3.0578             2.3008              0.3536              
-3.066              2.2997              0.3537              
-3.0743             2.2987              0.3538              
-3.0825             2.2976              0.3539              
-3.0907             2.2966              0.354               
-3.0988             2.2955              0.3542              
-3.107              2.2944              0.3543              
-3.1151             2.2933              0.3544              
-3.1233             2.2922              0.3545              
-3.1314             2.2911              0.3546              
-3.1395             2.2899              0.3547              
-3.1476             2.2888              0.3548              
-3.1556             2.2876              0.3549              
-3.1637             2.2864              0.355               
-3.1717             2.2853              0.355               
-3.1798             2.2841              0.3551              
-3.1878             2.2829              0.3552              
-3.1958             2.2816              0.3553              
-3.2037             2.2804              0.3554              
-3.2117             2.2792              0.3555              
-3.2196             2.2779              0.3556              
-3.2276             2.2767              0.3556              
-3.2355             2.2754              0.3557              
-3.2434             2.2741              0.3558              
-3.2513             2.2728              0.3559              
-3.2591             2.2715              0.3559              
-3.267              2.2702              0.356               
-3.2748             2.2689              0.3561              
-3.2827             2.2676              0.3562              
-3.2905             2.2662              0.3562              
-3.2983             2.2649              0.3563              
-3.306              2.2635              0.3563              
-3.3138             2.2621              0.3564              
-3.3215             2.2607              0.3565              
-3.3293             2.2593              0.3565              
-3.337              2.2579              0.3566              
-3.3447             2.2565              0.3566              
-3.3524             2.2551              0.3567              
-3.3601             2.2537              0.3567              
-3.3677             2.2522              0.3568              
-3.3754             2.2508              0.3568              
-3.383              2.2493              0.3569              
-3.3906             2.2478              0.3569              
-3.3982             2.2463              0.357               
-3.4058             2.2448              0.357               
-3.4134             2.2433              0.3571              
-3.4209             2.2418              0.3571              
-3.4285             2.2403              0.3571              
-3.436              2.2388              0.3572              
-3.4435             2.2372              0.3572              
-3.451              2.2357              0.3572              
-3.4585             2.2341              0.3573              
-3.4659             2.2325              0.3573              
-3.4734             2.2309              0.3573              
-3.4808             2.2294              0.3574              
-3.4883             2.2278              0.3574              
-3.4957             2.2261              0.3574              
-3.5031             2.2245              0.3574              
-3.5104             2.2229              0.3575              
-3.5178             2.2213              0.3575              
-3.5252             2.2196              0.3575              
-3.5325             2.218               0.3575              
-3.5398             2.2163              0.3575              
-3.5471             2.2146              0.3575              
-3.5544             2.213               0.3576              
-3.5617             2.2113              0.3576              
-3.569              2.2096              0.3576              
-3.5762             2.2079              0.3576              
-3.5835             2.2061              0.3576              
-3.5907             2.2044              0.3576              
-3.5979             2.2027              0.3576              
-3.6051             2.2009              0.3576              
-3.6123             2.1992              0.3576              
-3.6195             2.1974              0.3576              
-3.6266             2.1957              0.3576              
-3.6338             2.1939              0.3576              
-3.6409             2.1921              0.3576              
-3.648              2.1903              0.3576              
-3.6551             2.1885              0.3576              
-3.6622             2.1867              0.3576              
-3.6693             2.1849              0.3576              
-3.6763             2.1831              0.3576              
-3.6834             2.1812              0.3576              
-3.6904             2.1794              0.3575              
-3.6974             2.1775              0.3575              
-3.7044             2.1757              0.3575              
-3.7114             2.1738              0.3575              
-3.7184             2.1719              0.3575              
-3.7253             2.1701              0.3575              
-3.7323             2.1682              0.3574              
-3.7392             2.1663              0.3574              
-3.7461             2.1644              0.3574              
